W,V,Algoritmo,Tempo_Medio,N_Instancias
100,150,Backtracking,10.7883472625,8
100,150,Branch_and_Bound,0.00026023,10
100,150,Dinamico,0.23258115000000004,10
20,30,Backtracking,0.07846367000000001,10
20,30,Branch_and_Bound,0.00022102000000000002,10
20,30,Dinamico,0.0100907,10
20,40,Backtracking,0.0789962,10
20,40,Branch_and_Bound,0.00022859999999999997,10
20,40,Dinamico,0.014694040000000002,10
30,40,Backtracking,0.43009075,10
30,40,Branch_and_Bound,0.00024704,10
30,40,Dinamico,0.02496202,10
50,70,Backtracking,3.0332808555555553,9
50,70,Branch_and_Bound,0.00026855000000000005,10
50,70,Dinamico,0.0639444,10
80,100,Backtracking,9.227072549999999,8
80,100,Branch_and_Bound,0.00025025,10
80,100,Dinamico,0.12827903000000002,10
80,120,Backtracking,7.538953425,8
80,120,Branch_and_Bound,0.00024745,10
80,120,Dinamico,0.15203334,10
80,80,Backtracking,5.8120996375,8
80,80,Branch_and_Bound,0.00023762000000000002,10
80,80,Dinamico,0.10265874,10
