N_Itens,Algoritmo,Tempo_Medio,Tempo_Std,Tempo_Min,Tempo_Max,N_Configuracoes
10,Backtracking,0.00321228,0.0008956238311925382,0.0016499,0.0038956,5
10,Branch_and_Bound,0.00011533999999999999,2.7646934730635148e-05,8.54e-05,0.0001483,5
10,Dinamico,0.07084244,0.05211749382820514,0.0045484,0.1302299,5
20,Backtracking,2.2794284599999997,1.7128129739036695,0.0253407,3.5411281,5
20,Branch_and_Bound,0.00021346,8.994702885587719e-05,0.0001142,0.0003574,5
20,Dinamico,0.12788552,0.0972358006308479,0.0091819,0.2499452,5
30,Backtracking,0.7556918,,0.7556918,0.7556918,1
30,Branch_and_Bound,0.00032702,0.0001444488040795077,0.0001333,0.0005312,5
30,Dinamico,0.17888598,0.13402070080031295,0.0156225,0.3420628,5
40,Backtracking,0.8331139,,0.8331139,0.8331139,1
40,Branch_and_Bound,0.0003692,0.00021996683840979302,0.0001649,0.000634,5
40,Dinamico,0.2591943,0.215415432644762,0.0206278,0.5647887,5
50,Branch_and_Bound,0.00041817999999999993,0.00012353890885061274,0.0003005,0.000616,5
50,Dinamico,0.31682562000000003,0.27133352778605707,0.0238385,0.7154676,5
60,Branch_and_Bound,0.00053662,0.0003057080257369767,0.000256,0.0010025,5
60,Dinamico,0.40524128,0.35926698488903347,0.0283406,0.9359561,5
70,Branch_and_Bound,0.0006621800000000001,0.00018388628823270102,0.0004536,0.0009083,5
70,Dinamico,0.4155754,0.34095513217754914,0.0326687,0.8884005,5
80,Branch_and_Bound,0.00057794,0.00025222429105857346,0.0002972,0.0009482,5
80,Dinamico,0.4901016800000001,0.4160984349490238,0.0397599,1.0937702,5
