Capacidade_W,Capacidade_V,N_Itens,Algoritmo,Tempo_Medio,Tempo_Std,Valor_Medio,Valor_Std,Tempos_10_Execucoes,Valores_10_Execucoes
120,130,10,Dinamico,0.1343007,0.0072342,524,0.0,"[0.13410592079162598, 0.12862682342529297, 0.143324613571167, 0.12389397621154785, 0.1252458095550537, 0.13642621040344238, 0.13654851913452148, 0.14682316780090332, 0.13450026512145996, 0.13351130485534668]","[524, 524, 524, 524, 524, 524, 524, 524, 524, 524]"
120,130,10,Backtracking,0.0038045,0.0011152,524,0.0,"[0.002500295639038086, 0.0029823780059814453, 0.002746105194091797, 0.0028069019317626953, 0.0027523040771484375, 0.004704475402832031, 0.005128622055053711, 0.0048520565032958984, 0.004846811294555664, 0.004724740982055664]","[524, 524, 524, 524, 524, 524, 524, 524, 524, 524]"
120,130,10,Branch_and_Bound,0.0001981,0.0000106,524,0.0,"[0.00022268295288085938, 0.0001995563507080078, 0.0001850128173828125, 0.00020456314086914062, 0.00019431114196777344, 0.00019693374633789062, 0.0001983642578125, 0.00018596649169921875, 0.0001995563507080078, 0.0001938343048095703]","[524, 524, 524, 524, 524, 524, 524, 524, 524, 524]"
120,130,20,Dinamico,0.2423488,0.0068565,641,0.0,"[0.2513868808746338, 0.25449347496032715, 0.24015045166015625, 0.24467921257019043, 0.23943662643432617, 0.2347114086151123, 0.24231505393981934, 0.2374255657196045, 0.2332906723022461, 0.24559831619262695]","[641, 641, 641, 641, 641, 641, 641, 641, 641, 641]"
120,130,20,Backtracking,1.6091918,0.0607397,641,0.0,"[1.5945007801055908, 1.625415325164795, 1.6060678958892822, 1.5845897197723389, 1.5694797039031982, 1.6011273860931396, 1.5506830215454102, 1.539757490158081, 1.6798255443572998, 1.7404706478118896]","[641, 641, 641, 641, 641, 641, 641, 641, 641, 641]"
120,130,20,Branch_and_Bound,0.0914676,0.0033107,641,0.0,"[0.09271669387817383, 0.09137868881225586, 0.09260702133178711, 0.08759737014770508, 0.0890817642211914, 0.09040045738220215, 0.09267020225524902, 0.09929203987121582, 0.09074878692626953, 0.08818316459655762]","[641, 641, 641, 641, 641, 641, 641, 641, 641, 641]"
120,130,30,Dinamico,0.3542907,0.0156408,772,0.0,"[0.34734106063842773, 0.3411753177642822, 0.3504829406738281, 0.3489856719970703, 0.3433105945587158, 0.352388858795166, 0.35710811614990234, 0.3563802242279053, 0.3492867946624756, 0.39644789695739746]","[772, 772, 772, 772, 772, 772, 772, 772, 772, 772]"
120,130,30,Branch_and_Bound,13.9116742,0.5416275,772,0.0,"[14.11965298652649, 14.011397361755371, 14.050067901611328, 14.575193166732788, 14.444879531860352, 13.170167684555054, 13.53227972984314, 13.21306300163269, 14.568300724029541, 13.431739568710327]","[772, 772, 772, 772, 772, 772, 772, 772, 772, 772]"
120,130,40,Dinamico,0.5522520,0.0475829,864,0.0,"[0.5211830139160156, 0.534245491027832, 0.48699498176574707, 0.5556337833404541, 0.5436460971832275, 0.5443947315216064, 0.5142233371734619, 0.6252481937408447, 0.5558476448059082, 0.6411025524139404]","[864, 864, 864, 864, 864, 864, 864, 864, 864, 864]"
120,130,50,Dinamico,0.6384841,0.0204180,909,0.0,"[0.6216857433319092, 0.6393396854400635, 0.6195487976074219, 0.6271567344665527, 0.642174243927002, 0.6912939548492432, 0.6465623378753662, 0.6317362785339355, 0.6318304538726807, 0.6335132122039795]","[909, 909, 909, 909, 909, 909, 909, 909, 909, 909]"
120,130,60,Dinamico,0.9630451,0.1222650,948,0.0,"[1.2462327480316162, 1.0341382026672363, 0.9291083812713623, 0.9435279369354248, 1.0152957439422607, 0.9037814140319824, 0.9974720478057861, 0.8665280342102051, 0.8928196430206299, 0.8015468120574951]","[948, 948, 948, 948, 948, 948, 948, 948, 948, 948]"
120,130,70,Dinamico,0.8842428,0.0562895,914,0.0,"[0.9628016948699951, 0.8419468402862549, 0.8567798137664795, 0.8080887794494629, 0.8654077053070068, 0.9576029777526855, 0.9573132991790771, 0.8944156169891357, 0.8621540069580078, 0.8359177112579346]","[914, 914, 914, 914, 914, 914, 914, 914, 914, 914]"
120,130,80,Dinamico,1.0550603,0.0792846,960,0.0,"[1.0993328094482422, 0.8787052631378174, 1.0256257057189941, 1.0968918800354004, 1.0771310329437256, 1.1292104721069336, 1.0985488891601562, 1.028181791305542, 1.1368281841278076, 0.9801473617553711]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960]"
